usercode,created,timestamp,answers,version,mode,key,wordNum,randomImage_idx
CAFM97LJ,2015-03-03T07:16:33,"[""2015-03-03T07:09:02.976Z"",""2015-03-03T07:11:37.149Z"",""2015-03-03T07:13:13.920Z"",""2015-03-03T07:14:12.683Z"",""2015-03-03T07:15:05.016Z"",""2015-03-03T07:16:36.275Z""]","[{""topicIndex"":""33"",""mode"":""wordcloud"",""short"":""social security"",""long"":""public retirement plan system; every worker pays in, every retiree earns."",""conf"":""2"",""duration"":154.173},{""topicIndex"":""32"",""mode"":""wordcloud"",""short"":""obituary of author"",""long"":""a famous author has died and their life is being remembered"",""conf"":""2"",""duration"":96.771},{""topicIndex"":""42"",""mode"":""wordcloud"",""short"":""obituary"",""long"":""an announcement of a death along with information about the funeral."",""conf"":""4"",""duration"":58.763},{""topicIndex"":""48"",""mode"":""wordcloud"",""short"":""sports section"",""long"":""whole section of the paper that discusses current events in the world of sports."",""conf"":""4"",""duration"":52.333},{""topicIndex"":""20"",""mode"":""wordcloud"",""short"":""politics"",""long"":""articles about New York City Mayor Michael Bloomberg"",""conf"":""4"",""duration"":91.259}]",4,wordcloud,6410082996715520,20,5
IQO0IM38,2015-03-03T02:34:40,"[""2015-03-03T02:26:17.998Z"",""2015-03-03T02:28:29.462Z"",""2015-03-03T02:30:51.537Z"",""2015-03-03T02:32:12.296Z"",""2015-03-03T02:34:02.755Z"",""2015-03-03T02:34:42.950Z""]","[{""topicIndex"":""39"",""mode"":""histogram"",""short"":""distribution of wealth"",""long"":""The distribution of wealth determines people's acccess to resources as well as their access to power."",""conf"":""3"",""duration"":131.464},{""topicIndex"":""20"",""mode"":""histogram"",""short"":""local politics"",""long"":""Local politics determine all levels of a state's government."",""conf"":""2"",""duration"":142.075},{""topicIndex"":""13"",""mode"":""histogram"",""short"":""police shooting"",""long"":""Police shooting involving citizen that ended in the death of either the police or the citizen."",""conf"":""4"",""duration"":80.759},{""topicIndex"":""7"",""mode"":""histogram"",""short"":""development"",""long"":""Development of a plot of land and the amount of time it will take to complete."",""conf"":""3"",""duration"":110.459},{""topicIndex"":""4"",""mode"":""histogram"",""short"":""event location"",""long"":""description of the location of an event"",""conf"":""3"",""duration"":40.195}]",4,histogram,6410490750173184,5,2
WDJUROID,2015-03-08T12:52:28,"[""2015-03-08T12:46:30.545Z"",""2015-03-08T12:47:59.091Z"",""2015-03-08T12:49:00.059Z"",""2015-03-08T12:50:04.912Z"",""2015-03-08T12:51:53.148Z"",""2015-03-08T12:52:31.238Z""]","[{""topicIndex"":""46"",""mode"":""topic-in-a-box"",""short"":""Ford motor company."",""long"":""This article discusses the Ford motor company and Gerald Ford."",""conf"":""5"",""duration"":88.546},{""topicIndex"":""47"",""mode"":""topic-in-a-box"",""short"":""Street art."",""long"":""This article discusses free street art fairs."",""conf"":""5"",""duration"":60.968},{""topicIndex"":""19"",""mode"":""topic-in-a-box"",""short"":""San Francisco and Los Angeles dispute."",""long"":""Discusses an issue between San Franciso and Los Angeles which requires resolution."",""conf"":""5"",""duration"":64.853},{""topicIndex"":""21"",""mode"":""topic-in-a-box"",""short"":""Local and between state transportation."",""long"":""Possibly discusses methods of transportation between New Jersey and Long Island."",""conf"":""5"",""duration"":108.236},{""topicIndex"":""18"",""mode"":""topic-in-a-box"",""short"":""A Federal court case."",""long"":""A court case to be decided in Federal court."",""conf"":""5"",""duration"":38.09}]",4,topic-in-a-box,6411184655826944,5,3
4AELGB4K,2015-03-03T02:47:56,"[""2015-03-03T02:43:52.822Z"",""2015-03-03T02:45:11.318Z"",""2015-03-03T02:45:39.557Z"",""2015-03-03T02:45:59.063Z"",""2015-03-03T02:46:19.172Z"",""2015-03-03T02:46:39.581Z"",""2015-03-03T02:46:47.751Z"",""2015-03-03T02:46:52.530Z"",""2015-03-03T02:47:01.649Z"",""2015-03-03T02:47:16.944Z"",""2015-03-03T02:47:39.560Z"",""2015-03-03T02:47:42.441Z"",""2015-03-03T02:47:44.097Z"",""2015-03-03T02:47:45.337Z"",""2015-03-03T02:47:45.580Z"",""2015-03-03T02:47:59.215Z"",""2015-03-03T02:48:07.678Z""]","[{""topicIndex"":""39"",""mode"":""word"",""short"":""environmental"",""long"":""These words represent environmental things."",""conf"":""2"",""duration"":78.496},{""topicIndex"":""27"",""mode"":""word"",""short"":""fashion"",""long"":""These words have to do with the fashion industry."",""conf"":""2"",""duration"":28.239},{""topicIndex"":""43"",""mode"":""word"",""short"":""family"",""long"":""These words have to do with families."",""conf"":""3"",""duration"":19.506},{""topicIndex"":""35"",""mode"":""word"",""short"":""business"",""long"":""These words have to do with corporate business."",""conf"":""4"",""duration"":20.109},{""topicIndex"":""14"",""mode"":""word"",""short"":""healthcare"",""long"":""These words have to do with health care industry."",""conf"":""4"",""duration"":20.409}]",4,word,6414686664785920,10,5
BTARF5VU,2015-03-08T04:42:09,"[""2015-03-08T04:30:36.930Z"",""2015-03-08T04:34:26.275Z"",""2015-03-08T04:36:16.650Z"",""2015-03-08T04:37:18.926Z"",""2015-03-08T04:41:13.180Z"",""2015-03-08T04:42:07.528Z""]","[{""topicIndex"":""24"",""mode"":""histogram"",""short"":""Football Season"",""long"":""A description of a football season either in the past or future."",""conf"":""4"",""duration"":229.345},{""topicIndex"":""0"",""mode"":""histogram"",""short"":""Import of goods"",""long"":""Importing goods at a marine port. "",""conf"":""2"",""duration"":110.375},{""topicIndex"":""30"",""mode"":""histogram"",""short"":""Iraq war"",""long"":""Discussion of the US policies in Iraq and the political and military outcomes"",""conf"":""4"",""duration"":62.276},{""topicIndex"":""33"",""mode"":""histogram"",""short"":""Better people"",""long"":""Discussion of what makes people happier and more productive."",""conf"":""2"",""duration"":234.254},{""topicIndex"":""25"",""mode"":""histogram"",""short"":""University Entry"",""long"":""How high school students get into and deal with university. "",""conf"":""4"",""duration"":54.348}]",4,histogram,6418239944916992,20,1
NM9S0CI6,2015-03-03T10:31:20,"[""2015-03-03T10:21:48.909Z"",""2015-03-03T10:25:51.007Z"",""2015-03-03T10:27:38.837Z"",""2015-03-03T10:28:17.973Z"",""2015-03-03T10:29:21.580Z"",""2015-03-03T10:31:03.493Z""]","[{""topicIndex"":""1"",""mode"":""histogram"",""short"":""State Budget Expenses"",""long"":""How the state budget is distributed"",""conf"":""2"",""duration"":242.098},{""topicIndex"":""0"",""mode"":""histogram"",""short"":""Ocean Environmental Impact"",""long"":""How certain things affect our oceans"",""conf"":""3"",""duration"":107.83},{""topicIndex"":""44"",""mode"":""histogram"",""short"":""Stage Performance Attendace"",""long"":""What people like to go watch the most"",""conf"":""4"",""duration"":39.136},{""topicIndex"":""4"",""mode"":""histogram"",""short"":""Words Cue Place"",""long"":""What word helps people locate a time or place the most"",""conf"":""3"",""duration"":63.607},{""topicIndex"":""16"",""mode"":""histogram"",""short"":""Time Spent At"",""long"":""How much time is spent where."",""conf"":""2"",""duration"":101.913}]",4,histogram,6419840625541120,5,2
ENCXFXBW,2015-03-05T15:24:42,"[""2015-03-05T15:19:54.313Z"",""2015-03-05T15:21:01.125Z"",""2015-03-05T15:21:48.899Z"",""2015-03-05T15:22:43.318Z"",""2015-03-05T15:23:38.320Z"",""2015-03-05T15:24:05.302Z""]","[{""topicIndex"":""30"",""mode"":""histogram"",""short"":""American iraqi war"",""long"":""Many american soldiers have died during the war"",""conf"":""4"",""duration"":66.812},{""topicIndex"":""2"",""mode"":""histogram"",""short"":""fox entertainment millions"",""long"":""Millions of fox viewers are watching the shows"",""conf"":""4"",""duration"":47.774},{""topicIndex"":""44"",""mode"":""histogram"",""short"":""American dance orchestra"",""long"":""The theater shows american orchestra"",""conf"":""3"",""duration"":54.419},{""topicIndex"":""36"",""mode"":""histogram"",""short"":""brooklyn manhattan park"",""long"":""There is very less parking space available in the brooklyn/manhattan area"",""conf"":""4"",""duration"":55.002},{""topicIndex"":""16"",""mode"":""histogram"",""short"":""work job home"",""long"":""Many people are opting to work from home"",""conf"":""3"",""duration"":26.982}]",4,histogram,6421182802821120,20,4
74RXFTPD,2015-03-03T07:50:26,"[""2015-03-03T07:45:04.698Z"",""2015-03-03T07:45:27.749Z"",""2015-03-03T07:45:55.880Z"",""2015-03-03T07:49:00.580Z"",""2015-03-03T07:49:29.938Z"",""2015-03-03T07:50:26.302Z""]","[{""topicIndex"":""1"",""mode"":""wordcloud"",""short"":""Health Care"",""long"":""Free health care in America"",""conf"":""3"",""duration"":23.051},{""topicIndex"":""24"",""mode"":""wordcloud"",""short"":""Sports"",""long"":""The super bowl at the end of football season."",""conf"":""3"",""duration"":28.131},{""topicIndex"":""15"",""mode"":""wordcloud"",""short"":""Movies"",""long"":""Film festival and film museums."",""conf"":""3"",""duration"":184.7},{""topicIndex"":""43"",""mode"":""wordcloud"",""short"":""Family life."",""long"":""Starting family life. "",""conf"":""3"",""duration"":29.358},{""topicIndex"":""18"",""mode"":""wordcloud"",""short"":""City policy"",""long"":""contracts between cities"",""conf"":""3"",""duration"":56.364}]",4,wordcloud,6421704909783040,20,4
LNWS6WPW,2015-03-04T21:01:18,"[""2015-03-04T20:56:08.591Z"",""2015-03-04T20:57:26.056Z"",""2015-03-04T20:58:34.110Z"",""2015-03-04T20:59:23.921Z"",""2015-03-04T21:00:18.468Z"",""2015-03-04T21:01:16.342Z""]","[{""topicIndex"":""19"",""mode"":""topic-in-a-box"",""short"":""Hockey"",""long"":""Hockey both supports major and minor leagues. "",""conf"":""2"",""duration"":77.465},{""topicIndex"":""26"",""mode"":""topic-in-a-box"",""short"":""School"",""long"":""Many parents and professors strongly encourage their children to go college, regardless if it is a state university or Harvard."",""conf"":""4"",""duration"":68.054},{""topicIndex"":""45"",""mode"":""topic-in-a-box"",""short"":""Arts "",""long"":""Many theaters support the works of many different arts programs such as symphony orchestras, ballets, operas, and dance."",""conf"":""4"",""duration"":49.811},{""topicIndex"":""17"",""mode"":""topic-in-a-box"",""short"":""Job"",""long"":""Many people have been working at their jobs for years, earning money, regardless if they have family or not. "",""conf"":""2"",""duration"":54.547},{""topicIndex"":""6"",""mode"":""topic-in-a-box"",""short"":""Night life"",""long"":""Cities often have downtown's with bars, restaurants, parts, and hotels. "",""conf"":""4"",""duration"":57.874}]",4,topic-in-a-box,6422547260243968,20,1
CYEVOPQ9,2015-03-03T02:37:45,"[""2015-03-03T02:31:31.606Z"",""2015-03-03T02:32:30.006Z"",""2015-03-03T02:33:47.978Z"",""2015-03-03T02:34:51.004Z"",""2015-03-03T02:36:13.115Z"",""2015-03-03T02:37:12.356Z"",""2015-03-03T02:37:14.912Z"",""2015-03-03T02:37:34.703Z"",""2015-03-03T02:37:36.360Z"",""2015-03-03T02:37:37.484Z"",""2015-03-03T02:37:50.827Z""]","[{""topicIndex"":""39"",""mode"":""wordcloud"",""short"":""Enviormental"",""long"":""What is being done to help the neediest with energy needs."",""conf"":""4"",""duration"":58.4},{""topicIndex"":""12"",""mode"":""wordcloud"",""short"":""Your internet world "",""long"":""How the web and internet access has changed your world."",""conf"":""4"",""duration"":77.972},{""topicIndex"":""7"",""mode"":""wordcloud"",""short"":""Housing Numbers"",""long"":""Number of new houses being built this week."",""conf"":""4"",""duration"":63.026},{""topicIndex"":""35"",""mode"":""wordcloud"",""short"":""How Business Recruite"",""long"":""May companies are doing extensive research in looking for their next chief executive."",""conf"":""5"",""duration"":82.111},{""topicIndex"":""30"",""mode"":""wordcloud"",""short"":""Military Protection"",""long"":""How the american military is protecting the states."",""conf"":""4"",""duration"":59.241}]",4,wordcloud,6422925485801472,5,4
