topicIdx,updated,usercode,created,shortOrLong,players,done,key,wordNum,duration,worst,best
6,2015-03-18T06:23:42,DNPC65BG,2015-03-15T02:05:50,short,"[u'6-20-word-0-short', u'6-20-histogram-0-short', u'6-20-wordcloud-0-short', u'6-20-topic-in-a-box-0-short']",True,4521097324134400,20,16.67,[u'6-20-histogram-0-short'],[u'algorithm']
26,2015-03-19T00:59:00,Z68TFBHJ,2015-03-15T02:06:53,long,"[u'26-20-word-4-long', u'26-20-histogram-4-long', u'26-20-wordcloud-4-long', u'26-20-topic-in-a-box-4-long']",True,4521972155285504,20,22.113,[u'26-20-word-4-long'],[u'26-20-topic-in-a-box-4-long']
45,2015-03-22T02:02:22,AIQG1I0A,2015-03-22T01:38:08,long,"[u'45-10-word-0-long', u'45-10-histogram-1-long', u'45-10-wordcloud-2-long', u'45-10-topic-in-a-box-3-long']",True,4522307162734592,10,32.308,[u'45-10-topic-in-a-box-3-long'],[u'45-10-histogram-1-long']
20,,,2015-03-22T01:36:55,short,"[u'20-20-word-4-short', u'20-20-histogram-0-short', u'20-20-wordcloud-1-short', u'20-20-topic-in-a-box-2-short']",False,4522377761259520,20,,,
8,2015-03-19T04:14:23,OEXHGOT1,2015-03-15T02:05:52,short,"[u'8-10-word-0-short', u'8-10-histogram-0-short', u'8-10-wordcloud-0-short', u'8-10-topic-in-a-box-0-short']",True,4523012342677504,10,46.242,[u'algorithm'],[u'8-10-histogram-0-short']
16,2015-03-22T02:02:23,AIQG1I0A,2015-03-22T01:36:38,long,"[u'16-10-word-0-long', u'16-10-histogram-1-long', u'16-10-wordcloud-2-long', u'16-10-topic-in-a-box-3-long']",True,4523046433980416,10,35.735,[u'16-10-word-0-long'],[u'16-10-wordcloud-2-long']
24,2015-03-17T21:02:05,QXQT1CFU,2015-03-15T02:06:50,long,"[u'24-20-word-2-long', u'24-20-histogram-2-long', u'24-20-wordcloud-2-long', u'24-20-topic-in-a-box-2-long']",True,4523510290448384,20,33.153,[u'24-20-topic-in-a-box-2-long'],[u'24-20-wordcloud-2-long']
37,2015-03-18T11:32:05,OWOCEZS3,2015-03-15T02:07:18,long,"[u'37-5-word-3-long', u'37-5-histogram-3-long', u'37-5-wordcloud-3-long', u'37-5-topic-in-a-box-3-long']",True,4525434704232448,5,8.288,[u'37-5-histogram-3-long'],[u'37-5-topic-in-a-box-3-long']
38,2015-03-18T05:14:12,OBO8FIMD,2015-03-15T02:07:20,short,"[u'38-20-word-1-short', u'38-20-histogram-1-short', u'38-20-wordcloud-1-short', u'38-20-topic-in-a-box-1-short']",True,4525683007029248,20,9.091,[u'38-20-word-1-short'],[u'38-20-wordcloud-1-short']
44,2015-03-22T01:50:07,ZOHEMNGF,2015-03-22T01:38:07,short,"[u'44-10-word-4-short', u'44-10-histogram-0-short', u'44-10-wordcloud-1-short', u'44-10-topic-in-a-box-2-short']",True,4525795481485312,10,65.894,[u'algorithm'],[u'44-10-topic-in-a-box-2-short']
8,2015-03-18T05:14:12,OBO8FIMD,2015-03-15T02:05:52,long,"[u'8-5-word-1-long', u'8-5-histogram-1-long', u'8-5-wordcloud-1-long', u'8-5-topic-in-a-box-1-long']",True,4526243768696832,5,16.238,[u'8-5-histogram-1-long'],[u'8-5-wordcloud-1-long']
6,2015-03-18T05:03:02,4540BK53,2015-03-15T02:05:50,long,"[u'6-20-word-4-long', u'6-20-histogram-4-long', u'6-20-wordcloud-4-long', u'6-20-topic-in-a-box-4-long']",True,4526396508471296,20,52.345,[u'6-20-topic-in-a-box-4-long'],[u'6-20-histogram-4-long']
24,2015-03-18T04:57:46,81XURZHD,2015-03-15T02:06:49,short,"[u'24-5-word-3-short', u'24-5-histogram-3-short', u'24-5-wordcloud-3-short', u'24-5-topic-in-a-box-3-short']",True,4526723194421248,5,30.766,[u'bad_91'],[u'24-5-histogram-3-short']
38,2015-03-22T01:53:07,47PRR4CE,2015-03-22T01:37:49,short,"[u'38-20-word-2-short', u'38-20-histogram-3-short', u'38-20-wordcloud-4-short', u'38-20-topic-in-a-box-0-short']",True,4527531722014720,20,49.382,[u'algorithm'],[u'38-20-topic-in-a-box-0-short']
21,2015-03-22T01:51:41,KWKPWXMC,2015-03-22T01:36:55,long,"[u'21-10-word-2-long', u'21-10-histogram-3-long', u'21-10-wordcloud-4-long', u'21-10-topic-in-a-box-0-long']",True,4528311527014400,10,31.995,[u'21-10-topic-in-a-box-0-long'],[u'21-10-wordcloud-4-long']
48,2015-03-22T01:46:34,1AUA4IEC,2015-03-22T01:38:13,short,"[u'48-20-word-4-short', u'48-20-histogram-0-short', u'48-20-wordcloud-1-short', u'48-20-topic-in-a-box-2-short']",True,4528437154807808,20,30.167,[u'48-20-wordcloud-1-short'],[u'48-20-word-4-short']
39,2015-03-18T04:53:55,MVJF8DVX,2015-03-15T02:07:22,short,"[u'39-20-word-0-short', u'39-20-histogram-0-short', u'39-20-wordcloud-0-short', u'39-20-topic-in-a-box-0-short']",True,4528664251203584,20,70.543,[u'bad_205'],[u'39-20-wordcloud-0-short']
34,2015-03-22T02:04:07,94NZ7BO1,2015-03-22T01:37:43,short,"[u'34-20-word-0-short', u'34-20-histogram-1-short', u'34-20-wordcloud-2-short', u'34-20-topic-in-a-box-3-short']",True,4529462041378816,20,40.401,[u'algorithm'],[u'34-20-topic-in-a-box-3-short']
35,2015-03-18T01:04:28,E3NIZK3T,2015-03-15T02:07:15,short,"[u'35-10-word-1-short', u'35-10-histogram-1-short', u'35-10-wordcloud-1-short', u'35-10-topic-in-a-box-1-short']",True,4529496937988096,10,43.14,[u'bad_203'],[u'35-10-histogram-1-short']
39,2015-03-18T15:22:45,0B9N9VS0,2015-03-15T02:07:22,short,"[u'39-20-word-3-short', u'39-20-histogram-3-short', u'39-20-wordcloud-3-short', u'39-20-topic-in-a-box-3-short']",True,4530487733256192,20,20.644,[u'bad_147'],[u'39-20-word-3-short']
