coherence,time,confidence,quartile
0.05,60.660550458715598,3.1100917431192658,top
0.05,60.672131147540981,3.5901639344262297,top
0.08,59.69911504424779,3.5309734513274336,middle
0.08,57.600000000000001,3.4399999999999999,middle
0.04,54.692307692307693,3.523076923076923,top
0.07,56.583333333333336,3.6499999999999999,middle
0.03,62.174603174603178,4.0158730158730158,top
0.05,53.125,3.65625,top
0.12,56.016393442622949,3.4918032786885247,middle
0.01,66.225806451612897,3.661290322580645,top
0.09,47.533333333333331,3.7999999999999998,middle
0.11,60.650793650793652,3.0476190476190474,middle
0.14,56.721311475409834,3.5901639344262297,bottom
0.13,43.016666666666666,4.0166666666666666,bottom
0.18,62.462686567164177,3.7462686567164178,bottom
0.11,62.885245901639344,3.7868852459016393,middle
0.18,53.774193548387096,3.5483870967741935,bottom
0.01,44.555555555555557,3.5396825396825395,top
0.06,55.600000000000001,3.6833333333333331,middle
0.12,56.283333333333331,3.6000000000000001,middle
0.06,75.857142857142861,3.5555555555555554,middle
0.03,51.18333333333333,3.4166666666666665,top
0.02,44.655737704918032,3.5901639344262297,top
0.12,61.56666666666667,3.5666666666666669,middle
0.21,56.409090909090907,3.7272727272727271,bottom
0.12,71.126984126984127,4.1111111111111107,middle
0.05,68.377049180327873,3.8524590163934427,top
0.2,62.328125,3.625,bottom
0.05,67.693548387096769,3.7419354838709675,middle
0.08,78.819672131147541,3.459016393442623,middle
0.2,63.645161290322584,3.6774193548387095,bottom
0.09,48.916666666666664,3.7666666666666666,middle
0.12,60.799999999999997,3.4166666666666665,bottom
0.15,69.083333333333329,2.7999999999999998,bottom
0.04,51.5,3.5666666666666669,top
0.03,58.350000000000001,3.5666666666666669,top
0.05,59.854838709677416,3.4193548387096775,middle
0.14,60.344262295081968,3.6557377049180326,bottom
0.08,57.901639344262293,3.7704918032786887,middle
0.14,56.81666666666667,3.7540983606557377,bottom
0.11,51.26229508196721,3.6557377049180326,middle
0.13,61.557377049180324,3.8524590163934427,bottom
0.14,54.983870967741936,3.661290322580645,bottom
0.03,53.31666666666667,3.4833333333333334,top
0.08,62.557377049180324,3.639344262295082,middle
0.06,43.533333333333331,3.75,middle
0.1,57.491803278688522,3.639344262295082,middle
0.07,63.770491803278688,3.8688524590163933,middle
0.07,41.68333333333333,3.8833333333333333,middle
0.09,42.274193548387096,3.6129032258064515,middle
