conf,index,mode
2,0,word
4,0,histogram
4,0,wordcloud
5,0,topic-in-a-box
3,1,word
4,1,histogram
5,1,wordcloud
4,1,topic-in-a-box
3,2,word
4,2,histogram
4,2,wordcloud
4,2,topic-in-a-box
4,3,word
3,3,histogram
3,3,wordcloud
3,3,topic-in-a-box
4,4,word
5,4,histogram
5,4,wordcloud
4,4,topic-in-a-box
4,5,word
3,5,histogram
4,5,wordcloud
3,5,topic-in-a-box
4,6,word
2,6,histogram
4,6,wordcloud
4,6,topic-in-a-box
5,7,word
2,7,histogram
4,7,wordcloud
4,7,topic-in-a-box
4,8,word
5,8,histogram
3,8,wordcloud
4,8,topic-in-a-box
4,9,word
3,9,histogram
3,9,wordcloud
3,9,topic-in-a-box
5,10,word
3,10,histogram
5,10,wordcloud
3,10,topic-in-a-box
3,11,word
3,11,histogram
5,11,wordcloud
2,11,topic-in-a-box
4,12,word
4,12,histogram
3,12,wordcloud
3,12,topic-in-a-box
5,13,word
3,13,histogram
3,13,wordcloud
4,13,topic-in-a-box
4,14,word
3,14,histogram
3,14,wordcloud
3,14,topic-in-a-box
3,15,word
4,15,histogram
4,15,wordcloud
3,15,topic-in-a-box
3,16,word
4,16,histogram
2,16,wordcloud
4,16,topic-in-a-box
4,17,word
3,17,histogram
4,17,wordcloud
4,17,topic-in-a-box
4,18,word
2,18,histogram
4,18,wordcloud
4,18,topic-in-a-box
4,19,word
5,19,histogram
4,19,wordcloud
4,19,topic-in-a-box
4,20,word
4,20,histogram
4,20,wordcloud
4,20,topic-in-a-box
5,21,word
4,21,histogram
2,21,wordcloud
3,21,topic-in-a-box
4,22,word
4,22,histogram
3,22,wordcloud
4,22,topic-in-a-box
5,23,word
4,23,histogram
4,23,wordcloud
3,23,topic-in-a-box
3,24,word
4,24,histogram
5,24,wordcloud
2,24,topic-in-a-box
4,25,word
2,25,histogram
2,25,wordcloud
4,25,topic-in-a-box
4,26,word
4,26,histogram
5,26,wordcloud
3,26,topic-in-a-box
4,27,word
4,27,histogram
4,27,wordcloud
3,27,topic-in-a-box
5,28,word
4,28,histogram
3,28,wordcloud
4,28,topic-in-a-box
4,29,word
4,29,histogram
4,29,wordcloud
4,29,topic-in-a-box
5,30,word
5,30,histogram
4,30,wordcloud
3,30,topic-in-a-box
4,31,word
4,31,histogram
4,31,wordcloud
4,31,topic-in-a-box
4,32,word
3,32,histogram
5,32,wordcloud
4,32,topic-in-a-box
1,33,word
4,33,histogram
4,33,wordcloud
5,33,topic-in-a-box
4,34,word
4,34,histogram
4,34,wordcloud
2,34,topic-in-a-box
4,35,word
3,35,histogram
3,35,wordcloud
3,35,topic-in-a-box
3,36,word
5,36,histogram
3,36,wordcloud
5,36,topic-in-a-box
3,37,word
4,37,histogram
4,37,wordcloud
5,37,topic-in-a-box
4,38,word
5,38,histogram
5,38,wordcloud
2,38,topic-in-a-box
3,39,word
4,39,histogram
4,39,wordcloud
3,39,topic-in-a-box
3,40,word
3,40,histogram
4,40,wordcloud
4,40,topic-in-a-box
4,41,word
5,41,histogram
3,41,wordcloud
4,41,topic-in-a-box
3,42,word
4,42,histogram
3,42,wordcloud
2,42,topic-in-a-box
5,43,word
2,43,histogram
3,43,wordcloud
3,43,topic-in-a-box
4,44,word
4,44,histogram
3,44,wordcloud
4,44,topic-in-a-box
4,45,word
2,45,histogram
5,45,wordcloud
1,45,topic-in-a-box
4,46,word
3,46,histogram
4,46,wordcloud
2,46,topic-in-a-box
4,47,word
4,47,histogram
4,47,wordcloud
4,47,topic-in-a-box
4,48,word
4,48,histogram
4,48,wordcloud
2,48,topic-in-a-box
4,49,word
4,49,histogram
4,49,wordcloud
3,49,topic-in-a-box
4,50,word
5,50,histogram
4,50,wordcloud
2,50,topic-in-a-box
4,51,word
4,51,histogram
4,51,wordcloud
3,51,topic-in-a-box
4,52,word
3,52,histogram
3,52,wordcloud
4,52,topic-in-a-box
5,53,word
3,53,histogram
3,53,wordcloud
4,53,topic-in-a-box
4,54,word
4,54,histogram
4,54,wordcloud
5,54,topic-in-a-box
3,55,word
5,55,histogram
4,55,wordcloud
3,55,topic-in-a-box
5,56,word
3,56,histogram
1,56,wordcloud
4,56,topic-in-a-box
3,57,word
4,57,histogram
3,57,wordcloud
3,57,topic-in-a-box
4,58,word
4,58,histogram
3,58,wordcloud
4,58,topic-in-a-box
5,59,word
3,59,histogram
3,59,wordcloud
3,59,topic-in-a-box
2,60,word
3,60,histogram
3,60,wordcloud
3,60,topic-in-a-box
5,61,word
5,61,histogram
4,61,wordcloud
4,61,topic-in-a-box
4,62,word
4,62,histogram
2,62,wordcloud
4,62,topic-in-a-box
1,63,word
4,63,histogram
1,63,wordcloud
3,63,topic-in-a-box
5,64,word
4,64,histogram
4,64,wordcloud
4,64,topic-in-a-box
4,65,word
4,65,histogram
2,65,wordcloud
4,65,topic-in-a-box
4,66,word
2,66,histogram
4,66,wordcloud
4,66,topic-in-a-box
4,67,word
3,67,histogram
2,67,wordcloud
3,67,topic-in-a-box
3,68,word
2,68,histogram
4,68,wordcloud
4,68,topic-in-a-box
4,69,word
2,69,histogram
3,69,wordcloud
2,69,topic-in-a-box
4,70,word
4,70,histogram
4,70,wordcloud
5,70,topic-in-a-box
3,71,word
3,71,histogram
4,71,wordcloud
4,71,topic-in-a-box
5,72,word
2,72,histogram
2,72,wordcloud
2,72,topic-in-a-box
2,73,word
4,73,histogram
5,73,wordcloud
3,73,topic-in-a-box
5,74,word
4,74,histogram
4,74,wordcloud
3,74,topic-in-a-box
4,75,word
4,75,histogram
4,75,wordcloud
3,75,topic-in-a-box
3,76,word
2,76,histogram
3,76,wordcloud
4,76,topic-in-a-box
4,77,word
4,77,histogram
4,77,wordcloud
4,77,topic-in-a-box
3,78,word
4,78,histogram
4,78,wordcloud
3,78,topic-in-a-box
1,79,word
4,79,histogram
3,79,wordcloud
4,79,topic-in-a-box
3,80,word
5,80,histogram
4,80,wordcloud
5,80,topic-in-a-box
2,81,word
4,81,histogram
4,81,wordcloud
4,81,topic-in-a-box
4,82,word
4,82,histogram
5,82,wordcloud
3,82,topic-in-a-box
4,83,word
3,83,histogram
2,83,wordcloud
2,83,topic-in-a-box
4,84,word
3,84,histogram
3,84,wordcloud
3,84,topic-in-a-box
4,85,word
4,85,histogram
3,85,wordcloud
4,85,topic-in-a-box
3,86,word
2,86,histogram
4,86,wordcloud
5,86,topic-in-a-box
3,87,word
5,87,histogram
2,87,wordcloud
4,87,topic-in-a-box
3,88,word
1,88,histogram
4,88,wordcloud
4,88,topic-in-a-box
3,89,word
4,89,histogram
3,89,wordcloud
4,89,topic-in-a-box
2,90,word
3,90,histogram
3,90,wordcloud
4,90,topic-in-a-box
3,91,word
3,91,histogram
3,91,wordcloud
3,91,topic-in-a-box
2,92,word
2,92,histogram
3,92,wordcloud
3,92,topic-in-a-box
4,93,word
4,93,histogram
3,93,wordcloud
4,93,topic-in-a-box
4,94,word
3,94,histogram
4,94,wordcloud
4,94,topic-in-a-box
4,95,word
4,95,histogram
4,95,wordcloud
3,95,topic-in-a-box
4,96,word
4,96,histogram
4,96,wordcloud
5,96,topic-in-a-box
3,97,word
5,97,histogram
3,97,wordcloud
3,97,topic-in-a-box
4,98,word
4,98,histogram
3,98,wordcloud
4,98,topic-in-a-box
2,99,word
4,99,histogram
4,99,wordcloud
3,99,topic-in-a-box
4,100,word
4,100,histogram
2,100,wordcloud
1,100,topic-in-a-box
4,101,word
4,101,histogram
3,101,wordcloud
3,101,topic-in-a-box
5,102,word
4,102,histogram
4,102,wordcloud
3,102,topic-in-a-box
5,103,word
2,103,histogram
3,103,wordcloud
4,103,topic-in-a-box
3,104,word
4,104,histogram
3,104,wordcloud
4,104,topic-in-a-box
3,105,word
3,105,histogram
3,105,wordcloud
4,105,topic-in-a-box
5,106,word
3,106,histogram
2,106,wordcloud
2,106,topic-in-a-box
4,107,word
2,107,histogram
4,107,wordcloud
4,107,topic-in-a-box
5,108,word
3,108,histogram
1,108,wordcloud
4,108,topic-in-a-box
4,109,word
4,109,histogram
4,109,wordcloud
4,109,topic-in-a-box
3,110,word
3,110,histogram
2,110,wordcloud
5,110,topic-in-a-box
4,111,word
4,111,histogram
3,111,wordcloud
4,111,topic-in-a-box
5,112,word
3,112,histogram
4,112,wordcloud
4,112,topic-in-a-box
2,113,word
2,113,histogram
4,113,wordcloud
3,113,topic-in-a-box
4,114,word
4,114,histogram
4,114,wordcloud
4,114,topic-in-a-box
2,115,word
4,115,histogram
4,115,wordcloud
4,115,topic-in-a-box
4,116,word
3,116,histogram
4,116,wordcloud
3,116,topic-in-a-box
2,117,word
3,117,histogram
4,117,wordcloud
4,117,topic-in-a-box
3,118,word
4,118,histogram
3,118,wordcloud
4,118,topic-in-a-box
3,119,word
4,119,histogram
3,119,wordcloud
4,119,topic-in-a-box
3,120,word
3,120,histogram
3,120,wordcloud
4,120,topic-in-a-box
5,121,word
4,121,histogram
3,121,wordcloud
4,121,topic-in-a-box
3,122,word
4,122,histogram
5,122,wordcloud
4,122,topic-in-a-box
2,123,word
3,123,histogram
2,123,wordcloud
4,123,topic-in-a-box
4,124,word
3,124,histogram
5,124,wordcloud
3,124,topic-in-a-box
4,125,word
4,125,histogram
3,125,wordcloud
4,125,topic-in-a-box
4,126,word
2,126,histogram
4,126,wordcloud
4,126,topic-in-a-box
4,127,word
3,127,histogram
2,127,wordcloud
4,127,topic-in-a-box
5,128,word
3,128,histogram
5,128,wordcloud
5,128,topic-in-a-box
3,129,word
4,129,histogram
3,129,wordcloud
4,129,topic-in-a-box
3,130,word
4,130,histogram
4,130,wordcloud
5,130,topic-in-a-box
4,131,word
3,131,histogram
5,131,wordcloud
4,131,topic-in-a-box
4,132,word
5,132,histogram
4,132,wordcloud
2,132,topic-in-a-box
4,133,word
4,133,histogram
4,133,wordcloud
5,133,topic-in-a-box
4,134,word
4,134,histogram
3,134,wordcloud
3,134,topic-in-a-box
5,135,word
4,135,histogram
3,135,wordcloud
2,135,topic-in-a-box
4,136,word
4,136,histogram
5,136,wordcloud
3,136,topic-in-a-box
4,137,word
3,137,histogram
3,137,wordcloud
3,137,topic-in-a-box
3,138,word
3,138,histogram
4,138,wordcloud
4,138,topic-in-a-box
4,139,word
4,139,histogram
4,139,wordcloud
5,139,topic-in-a-box
4,140,word
3,140,histogram
4,140,wordcloud
4,140,topic-in-a-box
4,141,word
3,141,histogram
3,141,wordcloud
2,141,topic-in-a-box
5,142,word
3,142,histogram
4,142,wordcloud
3,142,topic-in-a-box
1,143,word
4,143,histogram
3,143,wordcloud
4,143,topic-in-a-box
4,144,word
4,144,histogram
4,144,wordcloud
4,144,topic-in-a-box
3,145,word
4,145,histogram
5,145,wordcloud
4,145,topic-in-a-box
3,146,word
4,146,histogram
4,146,wordcloud
3,146,topic-in-a-box
4,147,word
5,147,histogram
4,147,wordcloud
3,147,topic-in-a-box
3,148,word
4,148,histogram
3,148,wordcloud
3,148,topic-in-a-box
3,149,word
5,149,histogram
4,149,wordcloud
4,149,topic-in-a-box
4,150,word
4,150,histogram
3,150,wordcloud
3,150,topic-in-a-box
4,151,word
4,151,histogram
4,151,wordcloud
3,151,topic-in-a-box
3,152,word
3,152,histogram
3,152,wordcloud
4,152,topic-in-a-box
3,153,word
4,153,histogram
4,153,wordcloud
2,153,topic-in-a-box
4,154,word
4,154,histogram
4,154,wordcloud
3,154,topic-in-a-box
4,155,word
5,155,histogram
3,155,wordcloud
4,155,topic-in-a-box
4,156,word
2,156,histogram
4,156,wordcloud
3,156,topic-in-a-box
2,157,word
4,157,histogram
2,157,wordcloud
4,157,topic-in-a-box
5,158,word
3,158,histogram
4,158,wordcloud
4,158,topic-in-a-box
3,159,word
4,159,histogram
2,159,wordcloud
4,159,topic-in-a-box
4,160,word
5,160,histogram
2,160,wordcloud
4,160,topic-in-a-box
3,161,word
4,161,histogram
4,161,wordcloud
4,161,topic-in-a-box
2,162,word
5,162,histogram
3,162,wordcloud
4,162,topic-in-a-box
4,163,word
1,163,histogram
3,163,wordcloud
4,163,topic-in-a-box
4,164,word
3,164,histogram
5,164,wordcloud
5,164,topic-in-a-box
5,165,word
3,165,histogram
5,165,wordcloud
3,165,topic-in-a-box
4,166,word
4,166,histogram
4,166,wordcloud
4,166,topic-in-a-box
4,167,word
4,167,histogram
5,167,wordcloud
4,167,topic-in-a-box
3,168,word
4,168,histogram
5,168,wordcloud
4,168,topic-in-a-box
2,169,word
2,169,histogram
2,169,wordcloud
4,169,topic-in-a-box
4,170,word
2,170,histogram
4,170,wordcloud
4,170,topic-in-a-box
5,171,word
4,171,histogram
