validation_code,key,evalResults
SOO68SOS,4708882421121024,"[{""eID"":""4577782839377920"",""topicIdx"":""4"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""4-20-word-4-short""],""worst"":[""4-20-topic-in-a-box-2-short""],""duration"":155.758,""memo"":""dummy""},{""eID"":""4791524302782464"",""topicIdx"":""1"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""1-5-topic-in-a-box-0-short""],""worst"":[""1-5-word-2-short"",""1-5-histogram-3-short""],""duration"":115.799,""memo"":""real""},{""eID"":""4635050054254592"",""topicIdx"":""30"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""30-5-wordcloud-1-short""],""worst"":[""30-5-histogram-0-short""],""duration"":86.715,""memo"":""real""},{""eID"":""4794387166920704"",""topicIdx"":""8"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""8-5-wordcloud-1-long""],""worst"":[""8-5-word-4-long""],""duration"":170.224,""memo"":""real""},{""eID"":""4795691226365952"",""topicIdx"":""22"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""22-20-word-4-short"",""algorithm""],""worst"":[""22-20-topic-in-a-box-2-short""],""duration"":140.863,""memo"":""real""}]"
RQHPY7KG,4802175821676544,"[{""eID"":""5162815635587072"",""topicIdx"":""0"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""bad_50""],""worst"":[""0-20-topic-in-a-box-0-short""],""duration"":47.149,""memo"":""dummy""},{""eID"":""5566376131428352"",""topicIdx"":""16"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""16-5-wordcloud-4-long""],""worst"":[""16-5-histogram-3-long""],""duration"":89.123,""memo"":""real""},{""eID"":""5233149483155456"",""topicIdx"":""44"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""44-5-topic-in-a-box-4-short""],""worst"":[""algorithm""],""duration"":93.514,""memo"":""real""},{""eID"":""5530286326546432"",""topicIdx"":""18"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""18-20-histogram-1-long""],""worst"":[""18-20-wordcloud-2-long""],""duration"":13.65,""memo"":""real""},{""eID"":""5384475676508160"",""topicIdx"":""36"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""36-5-word-3-long""],""worst"":[""36-5-wordcloud-0-long""],""duration"":8.113,""memo"":""real""}]"
9FLJ2SWF,4825824448479232,"[{""eID"":""6452571497562112"",""topicIdx"":""49"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""49-20-word-0-short""],""worst"":[""49-20-wordcloud-0-short""],""duration"":138.38,""memo"":""dummy""},{""eID"":""5873758350868480"",""topicIdx"":""14"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""14-10-wordcloud-3-short""],""worst"":[""algorithm""],""duration"":88.659,""memo"":""real""},{""eID"":""6426199861493760"",""topicIdx"":""35"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""35-5-wordcloud-0-short""],""worst"":[""35-5-histogram-0-short""],""duration"":60.06,""memo"":""real""},{""eID"":""6652164801822720"",""topicIdx"":""7"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""7-20-word-4-short"",""algorithm""],""worst"":[""7-20-topic-in-a-box-4-short""],""duration"":13.183,""memo"":""real""},{""eID"":""6280718850195456"",""topicIdx"":""13"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""13-5-topic-in-a-box-1-short""],""worst"":[""13-5-wordcloud-1-short""],""duration"":33.919,""memo"":""real""}]"
FBS6T7WD,4830875598454784,"[{""eID"":""6639262720065536"",""topicIdx"":""16"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""16-20-wordcloud-2-short""],""worst"":[""16-20-topic-in-a-box-3-short""],""duration"":5.012,""memo"":""dummy""},{""eID"":""6499786878353408"",""topicIdx"":""41"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""algorithm""],""worst"":[""41-5-wordcloud-3-short""],""duration"":5.293,""memo"":""real""},{""eID"":""6502667996102656"",""topicIdx"":""28"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""28-10-word-0-short""],""worst"":[""28-10-topic-in-a-box-3-short""],""duration"":3.123,""memo"":""real""},{""eID"":""6604733598924800"",""topicIdx"":""13"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""13-10-wordcloud-1-short""],""worst"":[""algorithm""],""duration"":3.809,""memo"":""real""},{""eID"":""6402784236666880"",""topicIdx"":""12"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""12-20-topic-in-a-box-1-short""],""worst"":[""12-20-wordcloud-0-short""],""duration"":7.015,""memo"":""real""}]"
8F8TM4WC,4855348858978304,"[{""eID"":""5284901154717696"",""topicIdx"":""12"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""12-10-wordcloud-3-short""],""worst"":[""12-10-word-1-short""],""duration"":75.269,""memo"":""dummy""},{""eID"":""4791524302782464"",""topicIdx"":""1"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""1-5-topic-in-a-box-0-short""],""worst"":[""1-5-wordcloud-4-short""],""duration"":28.889,""memo"":""real""},{""eID"":""4940365052248064"",""topicIdx"":""24"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""24-5-histogram-2-short""],""worst"":[""24-5-wordcloud-3-short""],""duration"":19.872,""memo"":""real""},{""eID"":""4902396467609600"",""topicIdx"":""2"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""2-20-histogram-1-short""],""worst"":[""2-20-wordcloud-2-short"",""2-20-topic-in-a-box-3-short""],""duration"":15.537,""memo"":""real""},{""eID"":""5251784004075520"",""topicIdx"":""42"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""42-10-word-3-long""],""worst"":[""42-10-wordcloud-0-long""],""duration"":17.808,""memo"":""real""}]"
5SFWAFFA,4856321132199936,"[{""eID"":""5278922560241664"",""topicIdx"":""26"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""26-5-histogram-4-short""],""worst"":[""26-5-topic-in-a-box-1-short""],""duration"":87.522,""memo"":""dummy""},{""eID"":""5392521492430848"",""topicIdx"":""38"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""38-20-wordcloud-0-long""],""worst"":[""38-20-topic-in-a-box-1-long""],""duration"":64.293,""memo"":""real""},{""eID"":""5664589417021440"",""topicIdx"":""18"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""algorithm""],""worst"":[""18-5-wordcloud-0-short""],""duration"":110.398,""memo"":""real""},{""eID"":""6106309086674944"",""topicIdx"":""2"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""2-10-histogram-4-long""],""worst"":[""2-10-wordcloud-0-long""],""duration"":81.99,""memo"":""real""},{""eID"":""5316654653243392"",""topicIdx"":""49"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""49-5-topic-in-a-box-3-short""],""worst"":[""49-5-word-0-short""],""duration"":202.996,""memo"":""real""}]"
C0PQYU55,4871755634049024,"[{""eID"":""5830022162022400"",""topicIdx"":""40"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""40-10-topic-in-a-box-4-long""],""worst"":[""40-10-wordcloud-3-long""],""duration"":18.669,""memo"":""real""},{""eID"":""6404671069487104"",""topicIdx"":""10"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""10-20-word-3-long""],""worst"":[""10-20-topic-in-a-box-1-long""],""duration"":14.504,""memo"":""real""},{""eID"":""6061024562118656"",""topicIdx"":""16"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""16-20-histogram-3-short""],""worst"":[""16-20-word-2-short""],""duration"":7.046,""memo"":""dummy""},{""eID"":""5419660048596992"",""topicIdx"":""22"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""22-5-wordcloud-0-short""],""worst"":[""22-5-word-3-short"",""22-5-topic-in-a-box-1-short"",""algorithm""],""duration"":8.653,""memo"":""real""},{""eID"":""6006055154745344"",""topicIdx"":""44"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""44-20-topic-in-a-box-0-long""],""worst"":[""44-20-word-2-long""],""duration"":2.746,""memo"":""real""}]"
G7WHK4XZ,4876333263880192,"[{""eID"":""6377683910918144"",""topicIdx"":""43"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""43-10-topic-in-a-box-1-long""],""worst"":[""43-10-wordcloud-0-long""],""duration"":16.037,""memo"":""real""},{""eID"":""6125895211286528"",""topicIdx"":""18"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""18-5-wordcloud-0-long""],""worst"":[""18-5-word-3-long""],""duration"":8.952,""memo"":""real""},{""eID"":""4530487733256192"",""topicIdx"":""39"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""39-20-word-3-short""],""worst"":[""39-20-topic-in-a-box-3-short""],""duration"":6.116,""memo"":""dummy""},{""eID"":""5776686721269760"",""topicIdx"":""6"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""algorithm""],""worst"":[""6-5-histogram-3-short""],""duration"":14.096,""memo"":""real""},{""eID"":""4609933085507584"",""topicIdx"":""10"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""10-5-word-0-short""],""worst"":[""10-5-topic-in-a-box-0-short""],""duration"":8.84,""memo"":""real""}]"
4PJ8TFF2,4891894467264512,"[{""eID"":""5292208773136384"",""topicIdx"":""37"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""37-5-topic-in-a-box-4-long""],""worst"":[""37-5-wordcloud-3-long""],""duration"":52.491,""memo"":""real""},{""eID"":""4719309527973888"",""topicIdx"":""4"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""4-10-topic-in-a-box-1-short""],""worst"":[""4-10-histogram-4-short""],""duration"":19.349,""memo"":""dummy""},{""eID"":""4909757504684032"",""topicIdx"":""32"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""32-10-word-2-long""],""worst"":[""32-10-histogram-3-long""],""duration"":48.566,""memo"":""real""},{""eID"":""5197211075870720"",""topicIdx"":""14"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""14-5-histogram-0-long""],""worst"":[""14-5-wordcloud-1-long""],""duration"":31.347,""memo"":""real""},{""eID"":""4884186880016384"",""topicIdx"":""43"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""43-5-word-0-long""],""worst"":[""43-5-topic-in-a-box-3-long""],""duration"":25.032,""memo"":""real""}]"
XVA2YZ1P,4893891358621696,"[{""eID"":""5472990389075968"",""topicIdx"":""10"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""10-5-word-2-long""],""worst"":[""10-5-topic-in-a-box-0-long""],""duration"":210.266,""memo"":""real""},{""eID"":""4776778337878016"",""topicIdx"":""42"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""42-10-histogram-1-short""],""worst"":[""42-10-wordcloud-2-short""],""duration"":30.115,""memo"":""dummy""},{""eID"":""5101639463600128"",""topicIdx"":""19"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""19-5-histogram-4-short""],""worst"":[""19-5-topic-in-a-box-1-short""],""duration"":67.967,""memo"":""real""},{""eID"":""5231219163791360"",""topicIdx"":""48"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""48-10-word-2-short""],""worst"":[""48-10-histogram-3-short""],""duration"":44.488,""memo"":""real""},{""eID"":""5092411994800128"",""topicIdx"":""36"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""36-10-histogram-2-short""],""worst"":[""36-10-wordcloud-3-short""],""duration"":80.858,""memo"":""real""}]"
