topicIdx,visualization,cardinality,avgSharedTerms
5,word,10,3.2
6,word,10,2.6
7,word,10,2.4
8,word,10,1.4
9,word,10,0.6
10,word,10,2.8
11,word,10,0.2
12,word,10,2.6666666666666665
13,word,10,3.0
14,word,10,2.5454545454545454
15,word,10,2.2
16,word,10,1.4
17,word,10,1.2
18,word,10,1.6
19,word,10,2.2
20,word,10,3.0
21,word,10,2.8
22,word,10,1.4
23,word,10,2.0
24,word,10,2.4
25,word,10,2.2
26,word,10,0.6
27,word,10,2.0
28,word,10,1.4
29,word,10,2.6666666666666665
30,word,10,2.6
31,word,10,1.2
32,word,10,1.6
33,word,10,2.0
34,word,10,2.2
35,word,10,2.2
36,word,10,2.0
37,word,10,3.2
38,word,10,1.4
39,word,10,1.8
40,word,10,3.2
41,word,10,3.0
42,word,10,1.0
43,word,10,0.6
44,word,10,2.0
45,word,10,2.4
46,word,10,1.0
47,word,10,0.8
48,word,10,2.6
49,word,10,1.8333333333333333
0,histogram,10,1.5714285714285714
1,histogram,10,2.8
2,histogram,10,2.7333333333333334
3,histogram,10,1.3846153846153846
4,histogram,10,0.0
5,histogram,10,2.2
6,histogram,10,0.8
7,histogram,10,1.4
8,histogram,10,3.0
9,histogram,10,1.6
10,histogram,10,3.4
11,histogram,10,3.0
12,histogram,10,2.0
13,histogram,10,4.2
14,histogram,10,3.4
15,histogram,10,2.4
16,histogram,10,4.0
17,histogram,10,2.8
18,histogram,10,4.4
19,histogram,10,4.8
20,histogram,10,2.4
21,histogram,10,5.0
22,histogram,10,0.8
23,histogram,10,0.8
24,histogram,10,2.75
25,histogram,10,4.2
26,histogram,10,1.6
27,histogram,10,2.0
28,histogram,10,3.6
29,histogram,10,3.2
30,histogram,10,3.0
31,histogram,10,1.2
32,histogram,10,2.8
33,histogram,10,3.4
34,histogram,10,3.0
35,histogram,10,2.2
36,histogram,10,2.8
37,histogram,10,3.0
38,histogram,10,1.8
39,histogram,10,1.0
40,histogram,10,3.8
41,histogram,10,2.8
42,histogram,10,1.4
43,histogram,10,1.2
44,histogram,10,4.0
45,histogram,10,1.2
46,histogram,10,3.2
47,histogram,10,2.8
48,histogram,10,2.8
49,histogram,10,0.6
0,wordcloud,10,0.4444444444444444
1,wordcloud,10,2.0
2,wordcloud,10,3.25
3,wordcloud,10,1.4285714285714286
4,wordcloud,10,1.4
5,wordcloud,10,1.6
6,wordcloud,10,3.7142857142857144
7,wordcloud,10,2.857142857142857
8,wordcloud,10,1.8
9,wordcloud,10,2.0
10,wordcloud,10,2.2
11,wordcloud,10,1.6
12,wordcloud,10,1.8
13,wordcloud,10,3.0
14,wordcloud,10,3.2
15,wordcloud,10,2.0
16,wordcloud,10,2.142857142857143
17,wordcloud,10,2.8
18,wordcloud,10,3.4
19,wordcloud,10,3.2
20,wordcloud,10,2.6
21,wordcloud,10,3.0
22,wordcloud,10,1.4
23,wordcloud,10,2.0
24,wordcloud,10,2.8
25,wordcloud,10,2.4
26,wordcloud,10,1.8
27,wordcloud,10,2.857142857142857
28,wordcloud,10,1.6
29,wordcloud,10,2.2
30,wordcloud,10,1.2
31,wordcloud,10,3.0
32,wordcloud,10,1.4
33,wordcloud,10,1.0
34,wordcloud,10,1.0
35,wordcloud,10,1.4
36,wordcloud,10,1.6
37,wordcloud,10,1.8
38,wordcloud,10,2.0
39,wordcloud,10,1.8333333333333333
40,wordcloud,10,1.4
41,wordcloud,10,3.0
42,wordcloud,10,1.8
43,wordcloud,10,1.6
44,wordcloud,10,1.2
45,wordcloud,10,1.6
46,wordcloud,10,2.0
47,wordcloud,10,2.6
48,wordcloud,10,2.4
49,wordcloud,10,1.6
0,topic-in-a-box,10,2.4
1,topic-in-a-box,10,1.9230769230769231
2,topic-in-a-box,10,1.5384615384615385
3,topic-in-a-box,10,1.1
4,topic-in-a-box,10,0.8
5,topic-in-a-box,10,1.2
6,topic-in-a-box,10,2.5
7,topic-in-a-box,10,1.6
8,topic-in-a-box,10,3.0
9,topic-in-a-box,10,1.8
10,topic-in-a-box,10,4.8
11,topic-in-a-box,10,1.8
12,topic-in-a-box,10,1.4
13,topic-in-a-box,10,3.0
14,topic-in-a-box,10,3.0
15,topic-in-a-box,10,4.2
16,topic-in-a-box,10,1.4
17,topic-in-a-box,10,2.2
18,topic-in-a-box,10,2.6
19,topic-in-a-box,10,2.6
20,topic-in-a-box,10,0.6
21,topic-in-a-box,10,2.4
22,topic-in-a-box,10,2.0
23,topic-in-a-box,10,1.0
24,topic-in-a-box,10,3.0
25,topic-in-a-box,10,1.8
26,topic-in-a-box,10,1.4
27,topic-in-a-box,10,2.6
28,topic-in-a-box,10,2.4
29,topic-in-a-box,10,1.8
30,topic-in-a-box,10,1.6
31,topic-in-a-box,10,2.8
32,topic-in-a-box,10,2.2
33,topic-in-a-box,10,2.4
34,topic-in-a-box,10,2.6
35,topic-in-a-box,10,1.4
36,topic-in-a-box,10,3.2
37,topic-in-a-box,10,1.8
38,topic-in-a-box,10,1.0
39,topic-in-a-box,10,2.6
40,topic-in-a-box,10,2.4
41,topic-in-a-box,10,3.4
42,topic-in-a-box,10,2.4
43,topic-in-a-box,10,0.2
44,topic-in-a-box,10,1.4
45,topic-in-a-box,10,1.8
46,topic-in-a-box,10,2.2
47,topic-in-a-box,10,3.2
48,topic-in-a-box,10,3.2
49,topic-in-a-box,10,0.7142857142857143
0,word,20,1.125
1,word,20,2.5
2,word,20,1.8571428571428572
3,word,20,1.0
4,word,20,0.0
5,word,20,1.6
6,word,20,3.4
7,word,20,1.8
8,word,20,1.6
9,word,20,2.0
10,word,20,3.6
11,word,20,2.1666666666666665
12,word,20,1.2
13,word,20,1.0
14,word,20,2.2
15,word,20,3.2
16,word,20,1.0
17,word,20,1.125
18,word,20,1.2
19,word,20,4.2
20,word,20,0.7142857142857143
21,word,20,1.8
22,word,20,1.6666666666666667
23,word,20,0.8
24,word,20,2.6
25,word,20,2.6
26,word,20,1.8
27,word,20,2.2
28,word,20,2.2
29,word,20,2.4
30,word,20,1.8
31,word,20,2.2
32,word,20,0.8
33,word,20,2.6
34,word,20,1.0
35,word,20,1.4
36,word,20,1.6
37,word,20,1.1666666666666667
38,word,20,0.4
39,word,20,1.8
40,word,20,1.2
41,word,20,0.8333333333333334
42,word,20,1.0
43,word,20,1.4
44,word,20,1.8
45,word,20,2.0
46,word,20,0.6
47,word,20,1.8333333333333333
48,word,20,1.4
49,word,20,1.1666666666666667
0,histogram,20,0.8888888888888888
1,histogram,20,2.4
2,histogram,20,3.0
3,histogram,20,1.3333333333333333
4,histogram,20,0.2
5,histogram,20,1.8
6,histogram,20,2.2
7,histogram,20,2.0
8,histogram,20,1.8
9,histogram,20,1.6
10,histogram,20,2.8
11,histogram,20,1.6
12,histogram,20,1.6
13,histogram,20,3.2
14,histogram,20,2.0
15,histogram,20,1.6
16,histogram,20,1.8
17,histogram,20,1.4
18,histogram,20,1.4
19,histogram,20,3.4
20,histogram,20,1.4
21,histogram,20,1.0
22,histogram,20,3.0
23,histogram,20,1.6
24,histogram,20,2.6
25,histogram,20,2.8333333333333335
26,histogram,20,2.6
27,histogram,20,0.8
28,histogram,20,2.4
29,histogram,20,2.0
30,histogram,20,2.5
31,histogram,20,1.2
32,histogram,20,2.2
33,histogram,20,1.4
34,histogram,20,1.2
35,histogram,20,2.0
36,histogram,20,1.6
37,histogram,20,3.8
38,histogram,20,1.4
39,histogram,20,1.4
40,histogram,20,1.1666666666666667
41,histogram,20,1.0
42,histogram,20,1.4
43,histogram,20,2.0
44,histogram,20,2.2
45,histogram,20,1.4
46,histogram,20,2.8
47,histogram,20,2.0
48,histogram,20,1.6
49,histogram,20,1.0
0,wordcloud,20,0.6666666666666666
1,wordcloud,20,2.6
2,wordcloud,20,2.3333333333333335
3,wordcloud,20,1.625
4,wordcloud,20,0.4
5,wordcloud,20,1.4
6,wordcloud,20,3.6
7,wordcloud,20,2.2
8,wordcloud,20,2.8
9,wordcloud,20,5.5
10,wordcloud,20,2.4
11,wordcloud,20,2.8333333333333335
12,wordcloud,20,2.0
13,wordcloud,20,2.8
14,wordcloud,20,3.6666666666666665
15,wordcloud,20,3.8333333333333335
16,wordcloud,20,1.8
17,wordcloud,20,3.0
18,wordcloud,20,2.4
19,wordcloud,20,3.0
20,wordcloud,20,3.0
21,wordcloud,20,1.6
22,wordcloud,20,2.0
23,wordcloud,20,3.2
