coherence,time,confidence,quartile
0.05,63.084112149532707,3.1214953271028039,top
0.05,60.025316455696199,3.5696202531645569,top
0.08,56.018018018018019,3.5585585585585586,middle
0.08,60.685393258426963,3.4157303370786516,middle
0.04,49.399999999999999,3.6000000000000001,top
0.07,58.133333333333333,3.7333333333333334,middle
0.03,65.030769230769238,3.9846153846153847,top
0.05,53.825396825396822,3.5238095238095237,top
0.12,59.344262295081968,3.5081967213114753,middle
0.01,59.26229508196721,3.721311475409836,top
0.09,49.0,3.8524590163934427,middle
0.11,65.806451612903231,2.806451612903226,middle
0.14,45.967213114754095,3.819672131147541,bottom
0.13,52.81666666666667,4.0999999999999996,bottom
0.18,57.194029850746269,3.6417910447761193,bottom
0.11,68.704918032786878,3.8688524590163933,middle
0.01,51.12903225806452,3.2419354838709675,top
0.18,41.142857142857146,3.8253968253968256,bottom
0.12,63.016666666666666,3.5333333333333332,middle
0.06,63.333333333333336,3.6499999999999999,middle
0.03,61.126984126984127,3.5555555555555554,top
0.06,55.18333333333333,3.3999999999999999,middle
0.12,40.344262295081968,3.622950819672131,middle
0.02,71.725806451612897,3.5,top
0.12,53.0,3.9384615384615387,middle
0.21,72.063492063492063,4.0476190476190474,bottom
0.2,71.360655737704917,3.8032786885245899,bottom
0.05,57.753846153846155,3.5538461538461537,top
0.08,71.033333333333331,3.7333333333333334,middle
0.05,75.790322580645167,3.435483870967742,middle
0.09,62.245901639344261,3.7049180327868854,middle
0.2,47.916666666666664,3.7166666666666668,bottom
0.04,62.366666666666667,3.5166666666666666,top
0.03,65.566666666666663,2.6833333333333331,top
0.12,51.633333333333333,3.5499999999999998,bottom
0.15,62.266666666666666,3.6000000000000001,bottom
0.08,57.887096774193552,3.4838709677419355,middle
0.14,65.295081967213122,3.737704918032787,bottom
0.05,51.147540983606561,3.8032786885245899,middle
0.14,64.566666666666663,3.6557377049180326,bottom
0.14,41.147540983606561,3.622950819672131,bottom
0.03,65.163934426229503,3.8524590163934427,top
0.11,54.096774193548384,3.8225806451612905,middle
0.13,52.43333333333333,3.3666666666666667,bottom
0.1,64.508196721311478,3.6557377049180326,middle
0.07,43.68333333333333,3.75,middle
0.08,57.540983606557376,3.639344262295082,middle
0.06,61.377049180327866,3.901639344262295,middle
0.09,38.299999999999997,3.8833333333333333,middle
0.07,48.15625,3.4375,middle
