conf,index,mode
5,0,word
4,0,histogram
5,0,wordcloud
3,0,topic-in-a-box
3,1,word
4,1,histogram
4,1,wordcloud
2,1,topic-in-a-box
3,2,word
5,2,histogram
2,2,wordcloud
2,2,topic-in-a-box
4,3,word
4,3,histogram
4,3,wordcloud
3,3,topic-in-a-box
3,4,word
4,4,histogram
2,4,wordcloud
4,4,topic-in-a-box
4,5,word
1,5,histogram
4,5,wordcloud
4,5,topic-in-a-box
4,6,word
1,6,histogram
4,6,wordcloud
1,6,topic-in-a-box
3,7,word
3,7,histogram
3,7,wordcloud
3,7,topic-in-a-box
5,8,word
3,8,histogram
3,8,wordcloud
5,8,topic-in-a-box
4,9,word
3,9,histogram
5,9,wordcloud
3,9,topic-in-a-box
4,10,word
2,10,histogram
4,10,wordcloud
4,10,topic-in-a-box
3,11,word
5,11,histogram
3,11,wordcloud
2,11,topic-in-a-box
4,12,word
5,12,histogram
4,12,wordcloud
1,12,topic-in-a-box
5,13,word
3,13,histogram
2,13,wordcloud
2,13,topic-in-a-box
4,14,word
5,14,histogram
3,14,wordcloud
5,14,topic-in-a-box
4,15,word
3,15,histogram
3,15,wordcloud
4,15,topic-in-a-box
4,16,word
3,16,histogram
4,16,wordcloud
4,16,topic-in-a-box
5,17,word
4,17,histogram
5,17,wordcloud
4,17,topic-in-a-box
4,18,word
5,18,histogram
4,18,wordcloud
2,18,topic-in-a-box
4,19,word
3,19,histogram
4,19,wordcloud
2,19,topic-in-a-box
5,20,word
4,20,histogram
3,20,wordcloud
2,20,topic-in-a-box
3,21,word
5,21,histogram
4,21,wordcloud
4,21,topic-in-a-box
3,22,word
5,22,histogram
4,22,wordcloud
4,22,topic-in-a-box
4,23,word
4,23,histogram
4,23,wordcloud
2,23,topic-in-a-box
5,24,word
3,24,histogram
4,24,wordcloud
3,24,topic-in-a-box
1,25,word
4,25,histogram
4,25,wordcloud
2,25,topic-in-a-box
2,26,word
3,26,histogram
4,26,wordcloud
3,26,topic-in-a-box
3,27,word
5,27,histogram
1,27,wordcloud
4,27,topic-in-a-box
4,28,word
4,28,histogram
2,28,wordcloud
1,28,topic-in-a-box
2,29,word
4,29,histogram
4,29,wordcloud
4,29,topic-in-a-box
5,30,word
4,30,histogram
4,30,wordcloud
5,30,topic-in-a-box
2,31,word
3,31,histogram
4,31,wordcloud
4,31,topic-in-a-box
3,32,word
3,32,histogram
4,32,wordcloud
3,32,topic-in-a-box
3,33,word
4,33,histogram
3,33,wordcloud
2,33,topic-in-a-box
4,34,word
4,34,histogram
1,34,wordcloud
4,34,topic-in-a-box
4,35,word
4,35,histogram
4,35,wordcloud
3,35,topic-in-a-box
4,36,word
4,36,histogram
3,36,wordcloud
4,36,topic-in-a-box
5,37,word
4,37,histogram
4,37,wordcloud
3,37,topic-in-a-box
5,38,word
3,38,histogram
4,38,wordcloud
